epoch,loss,val_acc,val_f1,epoch_time_s
1,0.7007010371186012,0.604,0.5351725101585935,3.094947338104248
2,0.5145790431388589,0.8412,0.8405712384731399,2.4421329498291016
3,0.30420032698054644,0.8536,0.8528873628476119,2.7786974906921387
4,0.24495476726875748,0.8596,0.8594929673628182,2.9510347843170166
5,0.21731749280940654,0.8608,0.8606969380226267,2.4626379013061523
